file,energy_eV,energy_per_atom_eV,natoms,formula
struct_0470.cif,-48.337605,-6.0422006,8,Ca2O2Si2Ti2
struct_0471.cif,-106.0522,-7.575157,14,Ca2O8Si2Ti2
struct_0472.cif,-16.888746,-5.629582,3,CaOSi
struct_0473.cif,-103.26451,-7.3760366,14,Ca3O8Si2Ti
struct_0474.cif,-89.94453,-7.495377,12,Ca2O7Si2Ti
struct_0475.cif,-25.442432,-6.360608,4,CaOSiTi
struct_0476.cif,-25.686853,-6.4217134,4,CaOSiTi
struct_0477.cif,-40.97969,-6.8299484,6,CaOSi2Ti2
struct_0478.cif,-126.93656,-7.933535,16,CaO10Si3Ti2
struct_0479.cif,-25.686375,-6.4215937,4,CaOSiTi
struct_0480.cif,-89.819954,-7.4849963,12,Ca2O7Si2Ti
struct_0481.cif,-92.94539,-7.745449,12,CaO7Si2Ti2
struct_0482.cif,-25.447107,-6.361777,4,CaOSiTi
struct_0483.cif,-25.444477,-6.3611193,4,CaOSiTi
struct_0484.cif,-80.35555,-8.035555,10,CaO6SiTi2
struct_0485.cif,-23.260414,-5.8151035,4,CaOSi2
struct_0486.cif,-147.61734,-7.380867,20,Ca3O12Si4Ti
struct_0487.cif,-21.31186,-4.262372,5,Ca2Si2Ti
struct_0488.cif,-136.2609,-7.57005,18,Ca4O10SiTi3
struct_0489.cif,-77.074,-7.7074,10,Ca2O6SiTi
struct_0490.cif,-23.264837,-5.8162093,4,CaOSi2
struct_0491.cif,-25.546661,-6.3866653,4,CaO2Si
struct_0492.cif,-126.5651,-7.910319,16,Ca2O10Si2Ti2
struct_0493.cif,-56.946087,-5.6946087,10,Ca4O2Si2Ti2
struct_0494.cif,-74.95773,-7.4957733,10,CaO6Si2Ti
struct_0495.cif,-25.524921,-6.3812304,4,CaO2Si
struct_0496.cif,-140.33612,-7.796451,18,Ca2O11Si3Ti2
struct_0497.cif,-76.97493,-7.697493,10,Ca2O6SiTi
struct_0498.cif,-54.294716,-6.7868395,8,Ca2O4SiTi
struct_0499.cif,-128.82631,-8.051644,16,Ca2O10Si2Ti2
struct_0500.cif,-25.414421,-6.3536053,4,CaOSiTi
struct_0501.cif,-77.08219,-7.708219,10,Ca2O6SiTi
struct_0502.cif,-40.974674,-6.8291125,6,CaOSi2Ti2
struct_0503.cif,-72.89741,-7.2897406,10,CaO6Si3
struct_0504.cif,-90.38213,-7.5318446,12,CaO8Si2Ti
struct_0505.cif,-28.972801,-7.2432003,4,CaO2Ti
struct_0506.cif,-64.66887,-6.466887,10,Ca3O3Si2Ti2
struct_0507.cif,-30.341404,-7.585351,4,O2SiTi
struct_0508.cif,-65.20845,-7.2453833,9,Ca2O5SiTi
struct_0509.cif,-89.99151,-7.4992924,12,CaO8Si2Ti
struct_0510.cif,-77.07493,-7.707493,10,Ca2O6SiTi
struct_0511.cif,-150.73528,-7.5367637,20,Ca4O12Si3Ti
struct_0512.cif,-91.19763,-7.5998025,12,CaO8SiTi2
struct_0513.cif,-86.86706,-6.2047896,14,Ca3O5Si3Ti3
struct_0514.cif,-33.003914,-5.5006523,6,Ca2O2Si2
struct_0515.cif,-49.911186,-6.2388983,8,Ca2OSi2Ti3
struct_0516.cif,-52.679825,-6.584978,8,CaO3Si3Ti
struct_0517.cif,-38.69976,-6.44996,6,Ca2O2SiTi
struct_0518.cif,-76.589386,-7.6589384,10,Ca2O6SiTi
struct_0519.cif,-76.2779,-7.62779,10,CaO6Si2Ti
struct_0520.cif,-63.564262,-7.062696,9,CaO6Si2
struct_0521.cif,-56.67618,-7.0845227,8,CaO3Si2Ti2
struct_0522.cif,-66.82005,-7.4244504,9,CaO6SiTi
struct_0523.cif,-66.81367,-7.423741,9,CaO6SiTi
struct_0524.cif,-24.360916,-6.090229,4,CaO2Si
struct_0525.cif,-25.28696,-6.32174,4,CaO2Si
struct_0526.cif,-26.26976,-6.56744,4,CaOSiTi
struct_0527.cif,-41.90249,-6.983748,6,CaO3SiTi
struct_0528.cif,-103.31012,-7.3792944,14,Ca3O8Si2Ti
struct_0529.cif,-88.522415,-7.376868,12,CaO8Si2Ti
struct_0530.cif,-44.886314,-5.6107893,8,Ca3O2Si2Ti
struct_0531.cif,-89.357765,-7.4464803,12,Ca2O7Si2Ti
struct_0532.cif,-26.275873,-6.5689683,4,CaOSiTi
struct_0533.cif,-25.322407,-6.3306017,4,CaOSiTi
struct_0534.cif,-128.82144,-8.05134,16,Ca2O10Si2Ti2
struct_0535.cif,-75.89037,-7.5890374,10,CaO6Si2Ti
struct_0536.cif,-152.81917,-7.6409583,20,Ca3O12Si3Ti2
struct_0537.cif,-92.215935,-7.6846614,12,CaO7Si2Ti2
struct_0538.cif,-100.894585,-8.407882,12,O8Si2Ti2
struct_0539.cif,-159.64507,-7.982253,20,Ca3O12SiTi4
struct_0540.cif,-77.081116,-7.708112,10,Ca2O6SiTi
struct_0541.cif,-140.49281,-7.805156,18,Ca3O11Si2Ti2
struct_0542.cif,-140.7897,-7.82165,18,Ca2O11Si3Ti2
struct_0543.cif,-77.081894,-7.7081895,10,Ca2O6SiTi
struct_0544.cif,-25.263586,-6.3158965,4,CaO2Si
struct_0545.cif,-128.82529,-8.05158,16,Ca2O10Si2Ti2
struct_0546.cif,-28.357708,-5.6715417,5,Ca2OSiTi
struct_0547.cif,-68.56459,-6.856459,10,Ca2O5Si2Ti
struct_0548.cif,-61.430523,-7.6788154,8,O2Si2Ti4
struct_0549.cif,-90.34033,-7.528361,12,CaO8Si2Ti
struct_0550.cif,-123.57058,-7.723161,16,Ca2O10Si3Ti
struct_0551.cif,-33.579426,-6.715885,5,CaOSiTi2
struct_0552.cif,-93.51767,-7.793139,12,CaO8SiTi2
struct_0553.cif,-75.99069,-7.599069,10,CaO6Si2Ti
struct_0554.cif,-52.290344,-6.536293,8,Ca2O2SiTi3
struct_0555.cif,-24.10764,-6.02691,4,CaOSiTi
struct_0556.cif,-66.79819,-7.422021,9,CaO6SiTi
struct_0557.cif,-63.462154,-7.0513506,9,CaO6SiTi
struct_0558.cif,-79.82893,-7.9828935,10,CaO6SiTi2
struct_0559.cif,-33.598316,-6.719663,5,CaOSiTi2
struct_0560.cif,-88.52597,-7.3771644,12,CaO8Si2Ti
struct_0561.cif,-66.81422,-7.423802,9,CaO6SiTi
struct_0562.cif,-15.530068,-5.1766896,3,CaSiTi
struct_0563.cif,-89.72661,-7.477217,12,Ca2O7Si2Ti
struct_0564.cif,-76.665405,-7.6665406,10,Ca2O6SiTi
struct_0565.cif,-25.31374,-6.328435,4,CaO2Si
struct_0566.cif,-128.82733,-8.051708,16,Ca2O10Si2Ti2
struct_0567.cif,-77.079765,-7.7079763,10,Ca2O6SiTi
struct_0568.cif,-13.958105,-4.652702,3,CaOSi
struct_0569.cif,-128.81992,-8.051245,16,Ca2O10Si2Ti2
struct_0570.cif,-90.190475,-7.515873,12,Ca2O7Si2Ti
struct_0571.cif,-43.569138,-7.261523,6,CaO3SiTi
struct_0572.cif,-93.36946,-7.7807884,12,CaO8SiTi2
struct_0573.cif,-103.35211,-7.3822937,14,Ca2O8Si2Ti2
struct_0574.cif,-66.80749,-7.423054,9,CaO6SiTi
