file,energy_before_eV,energy_after_eV,delta_energy_eV,energy_per_atom_eV,natoms,formula,relaxed_file
struct_0092.cif,-24.11573,-25.083712,-0.96798134,-6.270928,4,CaO2Si,struct_0092_relaxed.cif
struct_0093.cif,-87.779564,-87.79002,-0.0104599,-7.9809113,11,CaO7Si2Ti,struct_0093_relaxed.cif
struct_0094.cif,-139.50954,-139.7192,-0.20965576,-7.7621775,18,CaO12Si3Ti2,struct_0094_relaxed.cif
struct_0095.cif,-59.82045,-59.961346,-0.14089584,-6.6623716,9,Ca2O2Si2Ti3,struct_0095_relaxed.cif
struct_0096.cif,-54.263798,-54.565125,-0.30132675,-6.8206406,8,Ca2O4SiTi,struct_0096_relaxed.cif
struct_0097.cif,-66.806335,-66.81185,-0.0055160522,-7.423539,9,CaO6SiTi,struct_0097_relaxed.cif
struct_0098.cif,-24.551052,-24.971184,-0.42013168,-4.994237,5,Ca2OSi2,struct_0098_relaxed.cif
struct_0099.cif,-133.61992,-133.64949,-0.029571533,-7.4249716,18,Ca2O12Si2Ti2,struct_0099_relaxed.cif
struct_0100.cif,-55.76466,-55.94095,-0.1762886,-6.9926186,8,CaO2Si2Ti3,struct_0100_relaxed.cif
struct_0101.cif,-128.82324,-128.82689,-0.0036468506,-8.051681,16,Ca2O10Si2Ti2,struct_0101_relaxed.cif
struct_0102.cif,-25.291004,-25.560316,-0.2693119,-6.390079,4,CaO2Si,struct_0102_relaxed.cif
struct_0103.cif,-45.33996,-45.352943,-0.0129852295,-5.669118,8,Ca3OSi2Ti2,struct_0103_relaxed.cif
struct_0104.cif,-26.991835,-27.010328,-0.018493652,-6.752582,4,OSi2Ti,struct_0104_relaxed.cif
struct_0105.cif,-33.403786,-33.40427,-0.00048446655,-5.5673785,6,Ca2Si2Ti2,struct_0105_relaxed.cif
struct_0106.cif,-75.85959,-76.05156,-0.19197083,-7.605156,10,CaO6Si2Ti,struct_0106_relaxed.cif
struct_0107.cif,-89.36864,-89.41876,-0.050125122,-7.4515634,12,Ca2O7Si2Ti,struct_0107_relaxed.cif
struct_0108.cif,-25.430466,-25.461067,-0.030601501,-6.365267,4,CaOSiTi,struct_0108_relaxed.cif
struct_0109.cif,-95.978035,-96.46989,-0.4918518,-8.039157,12,CaO7SiTi3,struct_0109_relaxed.cif
struct_0110.cif,-92.84198,-92.91571,-0.07373047,-7.7429757,12,CaO8SiTi2,struct_0110_relaxed.cif
struct_0111.cif,-60.306686,-60.37194,-0.06525421,-7.5464926,8,Ca2O4Ti2,struct_0111_relaxed.cif
struct_0112.cif,-150.14383,-150.25136,-0.10752869,-7.512568,20,Ca4O12Si3Ti,struct_0112_relaxed.cif
struct_0113.cif,-150.06552,-150.6209,-0.55537415,-7.531045,20,Ca3O12Si4Ti,struct_0113_relaxed.cif
struct_0114.cif,-25.544237,-25.563038,-0.018800735,-6.3907595,4,CaO2Si,struct_0114_relaxed.cif
struct_0115.cif,-91.39664,-91.802315,-0.4056778,-7.6501927,12,CaO7Si2Ti2,struct_0115_relaxed.cif
struct_0116.cif,-88.73187,-88.89737,-0.16549683,-7.408114,12,CaO8Si2Ti,struct_0116_relaxed.cif
struct_0117.cif,-47.82526,-48.062763,-0.23750305,-6.866109,7,CaO2Si2Ti2,struct_0117_relaxed.cif
